236	568002.62500	4138997.50000
237	568102.62500	4138997.50000
238	568202.62500	4138997.50000
275	567902.62500	4139097.50000
276	568002.62500	4139097.50000
277	568102.62500	4139097.50000
315	567902.62500	4139197.50000
316	568002.62500	4139197.50000
354	567802.62500	4139297.50000
355	567902.62500	4139297.50000
358	568202.62500	4139297.50000
364	568802.62500	4139297.50000
365	568902.62500	4139297.50000
366	569002.62500	4139297.50000
367	569102.62500	4139297.50000
368	569202.62500	4139297.50000
393	567702.62500	4139397.50000	# DID NOT EXIST
394	567802.62500	4139397.50000
395	567902.62500	4139397.50000
396	568002.62500	4139397.50000	# DID NOT EXIST
397	568102.62500	4139397.50000
400	568402.62500	4139397.50000
404	568802.62500	4139397.50000
405	568902.62500	4139397.50000
406	569002.62500	4139397.50000
407	569102.62500	4139397.50000
408	569202.62500	4139397.50000
409	569302.62500	4139397.50000
410	569402.62500	4139397.50000
411	569502.62500	4139397.50000
432	567602.62500	4139497.50000
433	567702.62500	4139497.50000
434	567802.62500	4139497.50000
435	567902.62500	4139497.50000
436	568002.62500	4139497.50000
437	568102.62500	4139497.50000
438	568202.62500	4139497.50000
439	568302.62500	4139497.50000
440	568402.62500	4139497.50000
441	568502.62500	4139497.50000
442	568602.62500	4139497.50000
444	568802.62500	4139497.50000
445	568902.62500	4139497.50000
446	569002.62500	4139497.50000
447	569102.62500	4139497.50000
448	569202.62500	4139497.50000
449	569302.62500	4139497.50000
450	569402.62500	4139497.50000
451	569502.62500	4139497.50000
453	569702.62500	4139497.50000
468	567202.62500	4139597.50000
469	567302.62500	4139597.50000
470	567402.62500	4139597.50000
471	567502.62500	4139597.50000
472	567602.62500	4139597.50000
473	567702.62500	4139597.50000
474	567802.62500	4139597.50000
475	567902.62500	4139597.50000
477	568102.62500	4139597.50000
481	568502.62500	4139597.50000
482	568602.62500	4139597.50000
483	568702.62500	4139597.50000
484	568802.62500	4139597.50000
485	568902.62500	4139597.50000
486	569002.62500	4139597.50000
487	569102.62500	4139597.50000
488	569202.62500	4139597.50000
489	569302.62500	4139597.50000
490	569402.62500	4139597.50000
491	569502.62500	4139597.50000
